,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,subscribed
9597,46,,married,,no,2367,no,no,,6,jun,86,3,-1,0,,no
8456,44,technician,married,secondary,no,497,yes,no,,3,jun,103,2,-1,0,,no
31842,36,management,single,tertiary,no,223,yes,no,cellular,8,apr,281,3,-1,0,,no
15154,39,management,married,secondary,no,363,yes,yes,cellular,17,jul,184,1,-1,0,,no
2364,42,blue-collar,married,secondary,no,-1664,yes,no,,13,may,169,1,-1,0,,no
36642,48,management,married,secondary,no,-440,yes,yes,cellular,12,may,399,1,-1,0,,no
36672,37,housemaid,married,tertiary,no,166,yes,no,cellular,12,may,132,1,-1,0,,no
22877,45,services,married,secondary,no,222,no,no,cellular,25,aug,119,11,-1,0,,no
28747,39,blue-collar,married,primary,no,976,yes,no,cellular,30,jan,80,1,2,2,other,no
3330,45,services,married,secondary,no,9077,yes,no,,15,may,139,1,-1,0,,no
4173,24,blue-collar,single,secondary,no,0,yes,no,,19,may,202,1,-1,0,,no
37387,44,blue-collar,married,tertiary,no,1371,no,no,cellular,13,may,788,3,363,4,other,no
24311,56,retired,married,secondary,no,2749,yes,yes,cellular,17,nov,38,1,172,2,failure,no
40127,28,management,single,secondary,no,1633,no,no,cellular,5,jun,275,1,-1,0,,yes
39489,31,admin.,single,tertiary,no,117,yes,no,cellular,25,may,77,1,-1,0,,no
17343,34,housemaid,married,tertiary,no,0,no,no,cellular,28,jul,60,5,-1,0,,no
15075,48,entrepreneur,married,tertiary,no,461,no,yes,cellular,17,jul,284,1,-1,0,,no
2392,34,blue-collar,single,primary,no,505,yes,no,,13,may,351,1,-1,0,,no
16460,51,management,married,tertiary,no,0,yes,no,cellular,23,jul,58,2,-1,0,,no
6928,34,blue-collar,married,secondary,no,-58,yes,yes,,28,may,157,2,-1,0,,no
1302,55,unemployed,single,tertiary,no,1513,yes,no,,8,may,60,1,-1,0,,no
39956,30,student,single,secondary,no,155,no,no,cellular,3,jun,206,3,-1,0,,no
13804,26,services,married,secondary,no,2063,yes,yes,cellular,10,jul,221,1,-1,0,,no
4939,37,technician,married,secondary,no,5729,yes,no,,21,may,303,3,-1,0,,no
8237,35,blue-collar,married,primary,no,456,yes,no,,2,jun,71,1,-1,0,,no
43356,57,management,married,tertiary,no,10583,no,no,cellular,25,mar,272,1,178,6,success,yes
35117,34,technician,single,secondary,no,440,yes,no,cellular,6,may,445,2,345,2,failure,no
14597,57,technician,married,secondary,no,458,no,yes,cellular,15,jul,177,3,-1,0,,no
40214,31,services,single,secondary,no,365,no,no,cellular,9,jun,337,3,-1,0,,no
25446,43,entrepreneur,married,tertiary,no,1574,yes,no,cellular,19,nov,167,3,-1,0,,no
29020,42,blue-collar,married,primary,no,199,yes,no,cellular,2,feb,272,1,-1,0,,no
6608,39,blue-collar,married,secondary,no,5222,yes,no,,28,may,102,1,-1,0,,no
22446,31,technician,single,secondary,no,5,no,no,cellular,22,aug,121,2,-1,0,,no
6914,40,technician,single,tertiary,no,-89,yes,no,,28,may,83,4,-1,0,,no
31109,29,services,married,secondary,no,1135,yes,no,cellular,17,feb,323,1,-1,0,,yes
21405,48,blue-collar,married,primary,no,583,no,no,cellular,18,aug,260,8,-1,0,,no
18707,37,unemployed,single,secondary,no,48,no,no,cellular,31,jul,40,10,-1,0,,no
13710,51,services,married,secondary,no,121,yes,no,cellular,10,jul,122,1,-1,0,,no
11871,56,housemaid,married,primary,no,954,no,no,,20,jun,81,10,-1,0,,no
11593,37,management,married,secondary,no,121,no,yes,,19,jun,89,2,-1,0,,no
30491,57,unemployed,married,secondary,no,3754,no,no,cellular,5,feb,1063,2,-1,0,,yes
28660,28,management,single,tertiary,no,185,no,no,cellular,30,jan,651,2,-1,0,,no
19997,55,management,married,tertiary,no,1909,no,no,cellular,8,aug,167,1,-1,0,,no
38096,29,blue-collar,single,secondary,no,555,yes,no,cellular,15,may,133,4,-1,0,,no
5753,31,management,married,secondary,no,89,yes,no,,26,may,167,1,-1,0,,no
1120,57,retired,divorced,secondary,no,8266,yes,no,,7,may,71,1,-1,0,,no
32609,33,blue-collar,single,secondary,no,264,yes,no,cellular,17,apr,494,1,-1,0,,no
13622,30,blue-collar,married,secondary,no,1,no,yes,cellular,9,jul,347,1,-1,0,,no
25510,48,unemployed,married,secondary,no,1811,yes,no,telephone,19,nov,137,4,111,3,failure,no
39638,25,student,single,,no,3,no,no,cellular,26,may,170,1,-1,0,,yes
7192,32,services,single,secondary,no,187,yes,no,,29,may,315,1,-1,0,,no
33970,39,blue-collar,married,secondary,no,0,yes,no,cellular,30,apr,53,1,325,1,failure,no
33554,43,services,divorced,secondary,no,-287,yes,no,cellular,20,apr,580,4,-1,0,,no
13106,55,retired,married,tertiary,no,197,no,yes,cellular,8,jul,256,1,-1,0,,no
33095,50,entrepreneur,married,primary,no,431,yes,no,cellular,20,apr,12,5,-1,0,,no
44644,18,student,single,,no,438,no,no,cellular,1,sep,425,1,-1,0,,no
11583,38,self-employed,divorced,secondary,no,2674,yes,no,,19,jun,163,2,-1,0,,no
40073,40,services,married,secondary,no,17,no,no,cellular,4,jun,78,1,-1,0,,no
6513,34,technician,married,secondary,yes,-34,yes,no,,27,may,201,5,-1,0,,no
38464,32,management,married,secondary,no,134,yes,yes,cellular,15,may,532,3,-1,0,,yes
44338,61,management,married,,no,264,no,no,telephone,29,jul,270,1,178,1,success,yes
19055,53,admin.,married,tertiary,no,5094,no,no,cellular,5,aug,114,1,-1,0,,no
41850,50,admin.,single,secondary,no,3702,no,no,cellular,16,oct,109,5,-1,0,,no
32744,41,blue-collar,married,secondary,no,475,yes,no,telephone,17,apr,254,1,-1,0,,no
6967,38,technician,married,tertiary,no,-1350,yes,yes,,28,may,96,4,-1,0,,no
16883,39,entrepreneur,married,primary,no,13930,yes,no,cellular,25,jul,337,2,-1,0,,no
26675,59,technician,married,secondary,no,4263,no,yes,cellular,20,nov,426,2,-1,0,,no
29657,37,services,divorced,secondary,no,1472,yes,no,cellular,3,feb,126,3,-1,0,,no
13954,52,blue-collar,single,tertiary,yes,-517,no,yes,cellular,10,jul,340,1,-1,0,,no
32697,36,blue-collar,married,secondary,no,1272,yes,no,cellular,17,apr,245,1,-1,0,,no
21367,32,technician,single,secondary,no,82,no,no,cellular,18,aug,66,4,-1,0,,no
7599,46,services,married,secondary,no,1227,yes,yes,,30,may,135,1,-1,0,,no
8360,31,admin.,married,secondary,no,7634,yes,yes,,3,jun,216,1,-1,0,,no
8679,29,self-employed,married,tertiary,no,3931,yes,no,,3,jun,73,4,-1,0,,no
10734,55,blue-collar,married,primary,no,835,yes,no,,16,jun,40,18,-1,0,,no
17063,51,technician,married,secondary,no,18,no,yes,cellular,25,jul,363,6,-1,0,,no
7052,40,technician,married,secondary,no,-378,yes,no,,28,may,261,2,-1,0,,no
37117,33,technician,married,secondary,no,221,yes,no,cellular,13,may,669,1,355,4,failure,yes
6719,36,blue-collar,married,secondary,no,21,yes,no,,28,may,89,1,-1,0,,no
2415,44,blue-collar,married,primary,no,353,yes,no,,13,may,705,1,-1,0,,no
5992,31,blue-collar,married,secondary,no,27,yes,yes,,26,may,109,5,-1,0,,no
22362,46,blue-collar,married,primary,no,0,no,no,cellular,22,aug,65,2,-1,0,,no
40702,72,retired,married,primary,no,1612,no,no,cellular,7,aug,530,2,-1,0,,yes
28990,28,admin.,single,secondary,no,53,no,no,cellular,2,feb,67,1,-1,0,,no
17228,43,services,married,secondary,no,-236,yes,no,cellular,28,jul,745,7,-1,0,,yes
5763,29,admin.,married,secondary,no,494,yes,no,,26,may,341,2,-1,0,,no
31433,25,management,single,tertiary,no,316,no,no,cellular,27,mar,347,2,-1,0,,yes
24441,54,unemployed,single,secondary,no,380,no,no,cellular,17,nov,696,2,-1,0,,yes
41956,43,blue-collar,married,secondary,no,14646,no,no,cellular,23,oct,210,1,-1,0,,yes
35728,40,admin.,married,secondary,no,526,yes,no,cellular,8,may,851,1,-1,0,,no
11873,44,management,divorced,tertiary,no,2237,yes,no,,20,jun,125,2,-1,0,,no
32191,30,blue-collar,married,primary,no,837,yes,no,cellular,15,apr,190,2,-1,0,,no
8539,39,self-employed,single,tertiary,no,1132,yes,no,,3,jun,216,1,-1,0,,no
12647,50,management,married,tertiary,no,453,no,yes,,4,jul,608,1,-1,0,,no
28310,35,technician,married,secondary,no,128,no,yes,cellular,29,jan,456,1,205,2,other,no
30783,32,housemaid,married,primary,no,-184,yes,no,cellular,6,feb,129,2,197,1,failure,no
10484,49,blue-collar,married,primary,no,361,yes,no,,16,jun,513,2,-1,0,,yes
32173,32,blue-collar,married,primary,no,388,yes,no,cellular,15,apr,171,2,-1,0,,no
1263,47,management,married,tertiary,no,643,yes,no,,8,may,155,1,-1,0,,no
32363,49,blue-collar,married,primary,no,1019,yes,no,cellular,16,apr,285,5,-1,0,,no
10625,53,technician,single,secondary,yes,-435,yes,yes,,16,jun,131,2,-1,0,,no
41191,33,management,single,tertiary,no,8514,no,no,cellular,20,aug,131,1,-1,0,,no
10129,42,technician,married,,no,0,no,no,,11,jun,241,1,-1,0,,no
21198,32,technician,single,secondary,no,303,no,no,cellular,14,aug,390,3,-1,0,,no
31642,35,management,single,tertiary,no,694,yes,no,cellular,6,apr,129,1,-1,0,,no
36251,41,unemployed,married,primary,no,101,yes,no,cellular,11,may,275,1,-1,0,,no
19789,32,technician,single,tertiary,no,5204,no,no,cellular,8,aug,31,2,-1,0,,no
16318,31,admin.,single,secondary,no,33,no,yes,cellular,23,jul,194,1,-1,0,,no
7659,38,admin.,divorced,secondary,no,19,yes,no,,30,may,604,2,-1,0,,yes
27362,34,technician,divorced,secondary,no,7,yes,yes,cellular,21,nov,94,2,199,1,failure,no
20963,40,housemaid,married,secondary,no,864,no,no,cellular,14,aug,36,2,-1,0,,no
12143,42,blue-collar,married,primary,no,0,no,no,,20,jun,19,2,-1,0,,no
11792,35,blue-collar,married,primary,no,14,yes,no,,20,jun,35,1,-1,0,,no
16239,27,services,married,secondary,no,2526,yes,no,cellular,23,jul,500,3,-1,0,,no
12545,34,technician,married,secondary,no,46,yes,yes,,3,jul,412,1,-1,0,,no
27793,30,management,single,tertiary,no,1572,no,no,cellular,28,jan,200,1,-1,0,,no
43863,54,management,divorced,tertiary,no,496,no,no,cellular,2,jun,161,1,140,3,success,no
18244,44,services,married,secondary,no,3536,no,no,cellular,31,jul,106,6,-1,0,,no
34335,39,management,single,tertiary,no,2454,yes,no,cellular,4,may,716,3,263,2,failure,yes
20036,30,management,single,tertiary,no,344,no,no,cellular,8,aug,179,3,-1,0,,no
40612,67,management,married,,no,65,no,no,cellular,4,aug,320,1,-1,0,,no
7001,47,technician,married,secondary,no,-938,yes,no,,28,may,176,2,-1,0,,no
31648,33,blue-collar,married,secondary,no,1101,yes,no,cellular,6,apr,399,2,-1,0,,no
29625,26,blue-collar,single,secondary,no,184,no,no,cellular,3,feb,110,2,6,1,other,no
42999,59,technician,married,secondary,no,116,no,no,cellular,11,feb,268,1,183,7,success,yes
44610,63,admin.,married,secondary,no,0,yes,no,cellular,31,aug,253,5,-1,0,,yes
9110,42,housemaid,married,primary,no,0,no,yes,,5,jun,48,2,-1,0,,no
42281,61,retired,married,secondary,no,3114,no,no,cellular,13,nov,381,1,-1,0,,yes
12231,40,blue-collar,married,secondary,no,925,yes,yes,,20,jun,22,8,-1,0,,no
26310,45,management,married,tertiary,no,96,yes,no,cellular,20,nov,167,1,127,1,failure,no
5202,26,entrepreneur,single,secondary,no,0,yes,no,,21,may,339,10,-1,0,,no
1817,50,services,married,tertiary,no,218,yes,no,,9,may,388,2,-1,0,,no
31517,39,technician,married,secondary,no,508,yes,no,cellular,2,apr,598,2,135,5,failure,no
34735,59,retired,married,primary,no,1064,yes,no,cellular,6,may,88,2,-1,0,,no
37993,53,services,divorced,secondary,no,765,yes,no,cellular,14,may,959,3,174,7,other,yes
28272,27,management,married,tertiary,no,145,no,no,cellular,29,jan,103,1,-1,0,,no
29482,44,unemployed,married,primary,no,1617,no,no,telephone,3,feb,56,1,-1,0,,no
40189,36,management,married,tertiary,no,361,no,no,cellular,5,jun,200,2,-1,0,,no
38484,33,management,married,tertiary,no,287,yes,no,cellular,15,may,199,2,274,3,other,no
23140,52,admin.,divorced,,no,0,no,no,cellular,26,aug,168,4,-1,0,,no
23594,53,blue-collar,married,primary,no,5603,no,no,cellular,28,aug,2372,6,-1,0,,yes
24566,37,management,single,tertiary,no,600,yes,no,cellular,17,nov,116,2,196,1,failure,no
17983,38,services,married,secondary,no,105,no,no,cellular,30,jul,244,2,-1,0,,no
6434,29,management,married,tertiary,no,7832,yes,no,,27,may,304,2,-1,0,,no
33334,34,admin.,single,secondary,no,1352,yes,no,cellular,20,apr,126,1,334,3,other,no
16322,28,blue-collar,single,secondary,no,-337,no,yes,cellular,23,jul,284,1,-1,0,,no
36717,48,admin.,married,secondary,no,315,yes,no,cellular,12,may,165,1,-1,0,,no
8769,39,blue-collar,married,secondary,no,1386,yes,yes,,4,jun,193,2,-1,0,,no
10120,42,housemaid,married,primary,yes,16,no,no,,11,jun,79,1,-1,0,,no
23552,31,admin.,married,secondary,no,23,no,no,cellular,28,aug,322,7,-1,0,,no
11524,50,blue-collar,married,primary,no,59,no,no,,19,jun,184,1,-1,0,,no
30637,41,management,married,tertiary,no,326,no,no,cellular,6,feb,163,1,182,2,failure,no
9704,39,technician,single,,no,75,no,no,,6,jun,26,1,-1,0,,no
8248,39,technician,married,secondary,no,-295,yes,no,,2,jun,288,1,-1,0,,no
15680,38,management,single,tertiary,no,-145,yes,no,cellular,21,jul,54,2,-1,0,,no
6193,33,services,divorced,secondary,no,991,yes,no,,27,may,148,1,-1,0,,no
43161,47,admin.,married,,no,66,no,no,cellular,26,feb,297,1,203,1,success,no
14274,37,blue-collar,married,primary,no,689,yes,no,cellular,14,jul,367,2,-1,0,,no
28222,34,management,married,tertiary,no,498,yes,no,cellular,29,jan,84,1,251,2,failure,no
19769,36,management,married,tertiary,no,162,yes,no,cellular,8,aug,75,2,-1,0,,no
35834,49,services,married,,no,1499,yes,no,cellular,8,may,87,1,-1,0,,no
37109,44,technician,married,tertiary,no,564,yes,no,cellular,13,may,88,2,-1,0,,no
7549,44,unemployed,divorced,primary,no,757,no,no,,30,may,498,4,-1,0,,no
42947,35,management,married,tertiary,no,62,no,no,cellular,8,feb,469,2,185,2,failure,yes
11373,50,self-employed,married,secondary,no,306,no,no,,19,jun,37,1,-1,0,,no
44762,69,retired,married,,no,426,no,no,telephone,10,sep,211,2,185,2,success,yes
36171,49,blue-collar,divorced,primary,no,24,yes,no,cellular,11,may,701,1,362,1,success,yes
32870,29,blue-collar,married,secondary,no,297,yes,no,cellular,17,apr,240,2,-1,0,,no
38737,38,blue-collar,married,primary,no,1428,yes,no,telephone,18,may,33,5,-1,0,,no
26802,46,entrepreneur,divorced,secondary,no,2514,yes,no,cellular,20,nov,68,2,-1,0,,no
8200,36,entrepreneur,married,tertiary,no,0,no,no,,2,jun,87,3,-1,0,,no
1250,50,blue-collar,married,primary,no,40,yes,no,,8,may,152,1,-1,0,,no
3216,54,technician,married,tertiary,no,2883,yes,yes,,15,may,12,3,-1,0,,no
42767,52,services,married,secondary,no,659,no,no,cellular,28,jan,390,4,93,1,success,yes
21028,36,management,married,tertiary,no,867,no,no,cellular,14,aug,159,2,-1,0,,no
26385,38,blue-collar,married,primary,no,433,no,no,cellular,20,nov,81,2,136,3,failure,no
25769,47,admin.,married,secondary,no,4480,no,no,telephone,19,nov,60,2,-1,0,,no
43764,47,admin.,married,secondary,no,368,no,no,cellular,21,may,403,1,87,6,success,yes
24243,45,technician,married,secondary,no,1,yes,no,cellular,17,nov,433,1,-1,0,,no
4354,31,blue-collar,married,primary,no,352,yes,no,,19,may,97,9,-1,0,,no
12098,54,management,divorced,,no,901,no,no,,20,jun,7,3,-1,0,,no
42235,29,management,single,tertiary,no,1026,no,no,cellular,12,nov,226,1,92,1,other,yes
13471,47,blue-collar,married,secondary,no,690,yes,no,cellular,9,jul,113,1,-1,0,,no
24951,58,management,married,primary,no,1021,no,no,,18,nov,205,1,-1,0,,no
31533,30,management,single,tertiary,no,0,yes,no,cellular,2,apr,293,2,314,2,failure,no
27076,41,technician,married,secondary,no,636,yes,no,cellular,21,nov,1055,1,177,1,other,no
20863,41,technician,divorced,secondary,no,258,no,no,cellular,13,aug,104,6,-1,0,,no
10394,52,,married,,no,1317,no,no,,12,jun,58,1,-1,0,,no
40332,37,management,married,tertiary,no,26,no,no,cellular,17,jun,151,7,62,4,failure,no
43825,23,student,single,secondary,no,922,no,no,cellular,28,may,538,2,184,9,failure,yes
22228,57,admin.,married,,no,1401,no,no,cellular,21,aug,91,22,-1,0,,no
14788,56,blue-collar,married,secondary,no,0,no,yes,cellular,16,jul,390,2,-1,0,,no
9870,37,blue-collar,single,primary,no,5473,no,yes,,9,jun,198,2,-1,0,,no
11856,47,management,married,tertiary,no,33,yes,yes,,20,jun,14,25,-1,0,,no
24313,55,management,married,tertiary,no,926,yes,no,cellular,17,nov,309,1,-1,0,,no
30808,52,services,divorced,secondary,no,289,yes,yes,telephone,6,feb,102,5,-1,0,,no
44677,70,retired,divorced,secondary,no,6850,no,no,telephone,3,sep,228,1,182,4,failure,no
22426,51,management,married,tertiary,no,0,no,no,cellular,22,aug,111,2,-1,0,,no
34567,42,management,married,tertiary,no,3718,yes,no,cellular,5,may,42,1,272,2,failure,no
21782,55,blue-collar,married,primary,no,-1217,yes,no,cellular,19,aug,242,4,-1,0,,no
37589,36,blue-collar,married,,no,1336,yes,yes,cellular,14,may,42,7,-1,0,,no
19048,43,management,divorced,tertiary,no,187,no,no,cellular,5,aug,175,1,-1,0,,no
15848,26,admin.,married,secondary,no,233,yes,no,cellular,21,jul,236,3,-1,0,,no
43530,42,self-employed,married,secondary,no,1216,yes,no,cellular,23,apr,296,1,521,1,failure,yes
5612,31,blue-collar,married,,no,-357,yes,no,,23,may,245,4,-1,0,,no
30811,48,unemployed,single,,no,11298,yes,no,cellular,9,feb,97,2,-1,0,,no
36488,27,technician,single,secondary,no,235,yes,no,cellular,12,may,13,5,-1,0,,no
15105,42,technician,married,secondary,no,782,yes,no,cellular,17,jul,536,2,-1,0,,no
41053,63,retired,divorced,secondary,no,4833,no,no,cellular,14,aug,415,1,-1,0,,no
17291,29,blue-collar,married,primary,no,-382,yes,no,cellular,28,jul,35,2,-1,0,,no
6988,39,blue-collar,married,secondary,no,2612,yes,no,,28,may,363,4,-1,0,,no
28781,31,unemployed,single,secondary,no,315,no,no,cellular,30,jan,130,1,2,1,other,no
31069,90,retired,divorced,secondary,no,1,no,no,cellular,13,feb,152,3,-1,0,,yes
24558,52,management,married,tertiary,no,1319,yes,no,cellular,17,nov,113,1,-1,0,,no
10589,52,technician,divorced,tertiary,no,728,no,no,,16,jun,644,1,-1,0,,no
3351,59,services,married,secondary,no,7475,no,no,,15,may,587,1,-1,0,,no
35558,33,technician,divorced,tertiary,no,2558,no,no,cellular,7,may,680,2,367,2,failure,no
28472,60,technician,divorced,secondary,no,615,yes,no,cellular,29,jan,130,1,-1,0,,no
3581,43,management,married,tertiary,no,2767,yes,no,,15,may,317,7,-1,0,,no
6839,50,admin.,married,secondary,no,3636,no,no,,28,may,290,1,-1,0,,no
4632,36,blue-collar,married,secondary,no,1797,yes,yes,,20,may,185,2,-1,0,,no
6574,53,technician,divorced,secondary,no,392,yes,no,,28,may,59,1,-1,0,,no
28065,55,blue-collar,married,primary,no,1470,no,no,telephone,28,jan,85,2,-1,0,,no
18504,45,management,married,primary,no,1533,no,no,cellular,31,jul,83,4,-1,0,,no
38518,39,technician,single,secondary,no,400,yes,no,cellular,15,may,237,2,-1,0,,no
287,50,technician,single,tertiary,no,339,yes,no,,5,may,2,3,-1,0,,no
23875,33,technician,married,secondary,no,118,yes,no,cellular,29,aug,103,2,-1,0,,no
4826,39,technician,married,secondary,no,597,yes,no,,21,may,298,2,-1,0,,no
12706,36,unemployed,single,primary,no,0,yes,no,telephone,7,jul,63,6,-1,0,,no
38622,29,admin.,single,secondary,no,-349,yes,no,cellular,15,may,233,4,-1,0,,no
8298,51,blue-collar,married,,no,0,no,no,,2,jun,61,7,-1,0,,no
4893,33,management,married,tertiary,no,741,no,no,,21,may,228,1,-1,0,,no
28184,26,technician,single,secondary,no,455,no,no,cellular,29,jan,240,1,182,8,other,no
561,36,admin.,divorced,secondary,no,131,yes,no,,6,may,153,1,-1,0,,no
44604,30,blue-collar,married,primary,no,124,yes,no,,28,aug,5,1,775,2,other,no
13780,39,technician,single,secondary,no,709,yes,no,cellular,10,jul,441,1,-1,0,,no
18450,59,retired,married,primary,no,488,no,no,cellular,31,jul,231,2,-1,0,,no
42881,77,retired,married,secondary,no,2123,no,no,telephone,4,feb,141,4,-1,0,,no
15242,40,technician,married,secondary,no,500,yes,no,cellular,17,jul,175,3,-1,0,,no
10230,56,housemaid,single,primary,no,1,no,no,,11,jun,83,2,-1,0,,no
10541,36,blue-collar,divorced,secondary,no,808,no,no,,16,jun,163,1,-1,0,,no
33875,35,admin.,single,tertiary,no,62,no,yes,cellular,30,apr,67,1,-1,0,,no
8915,50,admin.,divorced,secondary,no,3423,yes,yes,,4,jun,192,6,-1,0,,no
3659,53,admin.,married,primary,no,228,yes,no,,16,may,97,1,-1,0,,no
10079,59,entrepreneur,married,tertiary,no,712,yes,no,,11,jun,109,1,-1,0,,no
12895,30,unemployed,married,secondary,no,85,yes,yes,cellular,7,jul,88,1,-1,0,,no
34248,49,management,married,tertiary,no,1,yes,no,cellular,4,may,7,4,-1,0,,no
25826,35,blue-collar,married,secondary,no,1160,no,yes,telephone,19,nov,62,1,-1,0,,no
14596,54,retired,divorced,secondary,no,-57,no,yes,cellular,15,jul,364,10,-1,0,,no
15686,31,blue-collar,married,primary,no,-537,yes,yes,cellular,21,jul,1039,7,-1,0,,yes
43081,27,blue-collar,single,primary,no,377,no,no,cellular,19,feb,645,2,-1,0,,yes
18711,41,blue-collar,married,secondary,no,1293,no,no,telephone,31,jul,350,15,-1,0,,no
31629,44,blue-collar,married,secondary,no,8666,no,no,telephone,6,apr,172,1,-1,0,,no
12179,43,management,married,primary,no,98,no,no,,20,jun,185,4,-1,0,,no
31516,36,technician,married,secondary,no,0,no,no,cellular,2,apr,748,1,-1,0,,no
16762,31,blue-collar,married,primary,no,33,yes,no,cellular,24,jul,901,2,-1,0,,yes
42823,40,blue-collar,married,secondary,no,275,yes,no,cellular,1,feb,196,2,-1,0,,no
34468,37,services,married,secondary,no,4430,yes,no,cellular,5,may,175,1,-1,0,,no
42919,73,retired,married,tertiary,no,443,no,no,cellular,5,feb,133,2,-1,0,,no
13209,29,self-employed,single,tertiary,no,0,yes,no,cellular,8,jul,231,1,-1,0,,no
7526,33,services,married,secondary,no,1785,yes,no,,30,may,287,12,-1,0,,no
19692,32,technician,single,secondary,no,554,no,no,cellular,7,aug,520,3,-1,0,,no
13281,48,admin.,married,secondary,no,-509,no,yes,cellular,8,jul,302,3,-1,0,,no
39353,31,blue-collar,single,secondary,no,707,yes,no,cellular,18,may,52,2,-1,0,,no
17004,25,technician,single,secondary,no,1036,yes,no,cellular,25,jul,337,2,-1,0,,no
39477,49,technician,divorced,secondary,no,972,no,no,cellular,25,may,613,2,-1,0,,no
28898,37,services,single,secondary,no,1534,no,no,cellular,30,jan,267,6,-1,0,,no
24201,49,blue-collar,divorced,primary,no,514,no,no,cellular,17,nov,221,1,-1,0,,no
30008,40,unemployed,divorced,secondary,no,4082,yes,no,cellular,4,feb,113,1,-1,0,,no
28511,27,technician,single,tertiary,no,-152,yes,yes,cellular,29,jan,236,2,-1,0,,no
38014,31,blue-collar,single,secondary,no,1257,yes,no,cellular,14,may,350,2,-1,0,,no
18709,29,self-employed,married,tertiary,no,0,yes,yes,cellular,31,jul,46,28,-1,0,,no
2283,29,blue-collar,single,secondary,no,16,no,no,,12,may,197,3,-1,0,,no
3968,37,admin.,married,secondary,no,281,yes,no,,16,may,279,2,-1,0,,no
30613,46,management,married,tertiary,no,1698,yes,no,cellular,6,feb,90,1,-1,0,,no
23655,35,technician,married,tertiary,no,75,no,no,cellular,28,aug,9,19,-1,0,,no
32962,70,retired,married,secondary,no,1024,no,no,cellular,17,apr,278,1,-1,0,,no
38730,38,entrepreneur,married,secondary,no,157,no,yes,cellular,15,may,57,11,366,1,other,no
24877,48,management,married,tertiary,no,363,no,no,cellular,18,nov,67,1,-1,0,,no
38015,30,entrepreneur,single,tertiary,no,303,yes,no,cellular,14,may,176,2,365,4,failure,no
44502,34,management,married,tertiary,no,573,no,no,cellular,10,aug,122,1,-1,0,,no
33098,35,blue-collar,married,primary,no,1347,yes,yes,cellular,20,apr,360,1,-1,0,,no
11412,56,technician,married,tertiary,no,1663,no,no,,19,jun,22,1,-1,0,,no
644,43,unemployed,married,secondary,no,0,yes,no,,6,may,37,2,-1,0,,no
1805,37,admin.,single,secondary,no,1113,yes,no,,9,may,237,1,-1,0,,no
4673,31,blue-collar,married,secondary,no,0,yes,no,,20,may,134,1,-1,0,,no
26422,30,services,single,primary,no,5746,yes,no,telephone,20,nov,125,2,-1,0,,no
42987,27,student,single,tertiary,no,5291,no,no,cellular,11,feb,293,1,91,4,success,yes
23416,49,management,married,tertiary,no,276,no,no,cellular,27,aug,62,5,-1,0,,no
23805,32,management,married,tertiary,no,134,no,yes,cellular,29,aug,162,2,-1,0,,no
2970,40,entrepreneur,married,secondary,no,1416,yes,no,,14,may,210,2,-1,0,,no
5716,39,blue-collar,married,primary,no,259,yes,no,,26,may,168,1,-1,0,,no
41702,45,blue-collar,single,secondary,no,3727,no,no,cellular,6,oct,572,1,-1,0,,no
16254,34,admin.,married,secondary,no,804,yes,no,cellular,23,jul,256,9,-1,0,,no
8364,38,blue-collar,married,secondary,no,648,yes,no,,3,jun,179,1,-1,0,,no
1599,33,services,married,secondary,no,310,yes,no,,8,may,172,4,-1,0,,no
38841,24,technician,single,secondary,no,81,yes,no,cellular,18,may,333,1,-1,0,,no
42,60,blue-collar,married,,no,104,yes,no,,5,may,22,1,-1,0,,no
24294,48,blue-collar,married,primary,no,0,no,yes,cellular,17,nov,479,1,-1,0,,no
29028,38,services,married,secondary,no,-301,no,yes,cellular,2,feb,182,1,-1,0,,no
3093,45,entrepreneur,married,secondary,no,245,yes,no,,14,may,126,3,-1,0,,no
25465,33,management,married,tertiary,no,1148,no,no,cellular,19,nov,299,1,-1,0,,no
17599,43,blue-collar,married,secondary,no,1149,no,no,telephone,29,jul,237,2,-1,0,,no
37712,29,management,single,tertiary,no,21,yes,no,cellular,14,may,107,4,371,3,failure,no
12753,36,entrepreneur,divorced,tertiary,no,776,no,yes,cellular,7,jul,722,3,-1,0,,yes
23482,45,management,married,secondary,no,2873,yes,no,cellular,28,aug,30,16,-1,0,,no
7788,35,management,single,tertiary,no,0,yes,no,,30,may,147,1,-1,0,,no
1650,35,blue-collar,married,secondary,no,503,yes,yes,,9,may,57,2,-1,0,,no
31141,21,student,single,secondary,no,164,no,no,cellular,19,feb,78,5,-1,0,,no
29991,28,services,divorced,secondary,no,9,yes,no,cellular,4,feb,306,1,-1,0,,no
30546,29,entrepreneur,single,tertiary,no,54,no,no,cellular,5,feb,251,3,-1,0,,no
13878,36,services,divorced,secondary,no,82,yes,no,cellular,10,jul,226,1,-1,0,,no
36964,32,management,single,tertiary,no,933,yes,no,cellular,12,may,147,4,307,1,failure,no
22552,45,technician,divorced,secondary,no,88,yes,no,cellular,22,aug,55,3,-1,0,,no
8677,37,blue-collar,single,secondary,no,277,yes,no,,3,jun,87,6,-1,0,,no
12514,35,technician,single,secondary,no,-51,no,no,,2,jul,134,2,-1,0,,no
